fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2010,acs_2017_2,state_alpha,fmr_type,metro,fmr_pct_chg,fmr_dollar_chg
207099999,1013,1046,1201,1663,1848,2,NCNTY02070N02070,"Dillingham Census Area, AK",70,99999,Dillingham Census Area,Dillingham Census Area,4847.0,1192,AK,40,0,0.0075503355704698,9
209099999,873,1029,1368,1990,2409,2,METRO21820M21820,"Fairbanks, AK MSA",90,99999,Fairbanks North Star Borough,Fairbanks North Star Borough,97581.0,1267,AK,40,1,0.079715864246251,101
210099999,704,858,985,1247,1516,2,NCNTY02100N02100,"Haines Borough, AK",100,99999,Haines Borough,Haines Borough,2508.0,1007,AK,40,0,-0.0218470705064548,-22
210599999,535,650,839,1139,1143,2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",105,99999,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2150.0,861,AK,40,0,-0.0255516840882695,-22
211099999,910,1072,1426,2039,2512,2,NCNTY02110N02110,"Juneau City and Borough, AK",110,99999,Juneau City and Borough,Juneau City and Borough,31275.0,1466,AK,40,0,-0.0272851296043656,-40
212299999,814,819,1082,1403,1595,2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",122,99999,Kenai Peninsula Borough,Kenai Peninsula Borough,55400.0,1113,AK,40,0,-0.0278526504941599,-31
213099999,801,944,1255,1649,2210,2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",130,99999,Ketchikan Gateway Borough,Ketchikan Gateway Borough,13477.0,1317,AK,40,0,-0.0470766894457099,-62
215099999,898,924,1061,1543,1738,2,NCNTY02150N02150,"Kodiak Island Borough, AK",150,99999,Kodiak Island Borough,Kodiak Island Borough,13592.0,1096,AK,40,0,-0.0319343065693431,-35
215899999,659,804,923,1157,1257,2,NCNTY02158N02158,Kusilvak Census Area,158,99999,Kusilvak Census Area,Kusilvak Census Area,7459.0,971,AK,40,0,-0.0494335736354274,-48
216499999,629,752,881,1105,1356,2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",164,99999,Lake and Peninsula Borough,Lake and Peninsula Borough,1631.0,910,AK,40,0,-0.0318681318681319,-29
217099999,740,835,1111,1616,1957,2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",170,99999,Matanuska-Susitna Borough,Matanuska-Susitna Borough,88995.0,1041,AK,40,1,0.0672430355427474,70
218099999,970,1285,1521,1907,2072,2,NCNTY02180N02180,"Nome Census Area, AK",180,99999,Nome Census Area,Nome Census Area,9492.0,1582,AK,40,0,-0.038558786346397,-61
218599999,926,1028,1180,1598,2040,2,NCNTY02185N02185,"North Slope Borough, AK",185,99999,North Slope Borough,North Slope Borough,9430.0,1231,AK,40,0,-0.041429731925264,-51
218899999,1080,1111,1276,1732,1738,2,NCNTY02188N02188,"Northwest Arctic Borough, AK",188,99999,Northwest Arctic Borough,Northwest Arctic Borough,7523.0,1262,AK,40,0,0.0110935023771791,14
219599999,692,816,1085,1360,1670,2,NCNTY02195N02195,"Petersburg Census Area, AK",195,99999,Petersburg Census Area,Petersburg Census Area,3815.0,1060,AK,40,0,0.0235849056603774,25
219899999,790,795,1032,1294,1406,2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",198,99999,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,5559.0,1062,AK,40,0,-0.0282485875706215,-30
222099999,903,1007,1261,1753,2221,2,NCNTY02220N02220,"Sitka City and Borough, AK",220,99999,Sitka City and Borough,Sitka City and Borough,8881.0,1278,AK,40,0,-0.013302034428795,-17
223099999,965,1090,1351,1965,2079,2,NCNTY02230N02230,"Skagway Municipality, AK",230,99999,Skagway Municipality,Skagway Municipality,968.0,1414,AK,40,0,-0.0445544554455446,-63
224099999,872,1030,1220,1775,2149,2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",240,99999,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,7029.0,1223,AK,40,0,-0.00245298446443173,-3
226199999,835,898,1194,1497,1838,2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",261,99999,Valdez-Cordova Census Area,Valdez-Cordova Census Area,9636.0,1139,AK,40,0,0.04828797190518,55
227599999,718,723,962,1223,1480,2,NCNTY02275N02275,"Wrangell City and Borough, AK",275,99999,Wrangell City and Borough,Wrangell City and Borough,2369.0,1010,AK,40,0,-0.0475247524752475,-48
228299999,799,841,1118,1402,1721,2,NCNTY02282N02282,"Yakutat City and Borough, AK",282,99999,Yakutat City and Borough,Yakutat City and Borough,662.0,1182,AK,40,0,-0.0541455160744501,-64
229099999,613,617,789,1033,1390,2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",290,99999,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,5588.0,789,AK,40,0,0.0,0
400199999,508,595,697,998,1206,4,NCNTY04001N04001,"Apache County, AZ",1,99999,Apache County,Apache County,71518.0,681,AZ,40,0,0.0234948604992658,16
400399999,617,621,779,1133,1372,4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",3,99999,Cochise County,Cochise County,131346.0,747,AZ,40,1,0.0428380187416332,32
400599999,782,920,1129,1446,1719,4,METRO22380M22380,"Flagstaff, AZ MSA",5,99999,Coconino County,Coconino County,134421.0,1037,AZ,40,1,0.0887174541947927,92
400799999,643,647,861,1090,1173,4,NCNTY04007N04007,"Gila County, AZ",7,99999,Gila County,Gila County,53597.0,801,AZ,40,0,0.0749063670411985,60
400999999,595,650,785,1142,1354,4,NCNTY04009N04009,"Graham County, AZ",9,99999,Graham County,Graham County,37220.0,737,AZ,40,0,0.0651289009497965,48
401199999,530,531,700,878,953,4,NCNTY04011N04011,"Greenlee County, AZ",11,99999,Greenlee County,Greenlee County,8437.0,681,AZ,40,0,0.0279001468428781,19
401299999,568,571,760,953,1140,4,NCNTY04012N04012,"La Paz County, AZ",12,99999,La Paz County,La Paz County,20489.0,719,AZ,40,0,0.0570236439499305,41
401399999,684,815,1013,1474,1697,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",13,99999,Maricopa County,Maricopa County,3817117.0,944,AZ,40,1,0.0730932203389831,69
401599999,564,626,797,1145,1264,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",15,99999,Mohave County,Mohave County,200186.0,762,AZ,40,1,0.0459317585301837,35
401799999,572,575,722,969,1118,4,NCNTY04017N04017,"Navajo County, AZ",17,99999,Navajo County,Navajo County,107449.0,748,AZ,40,0,-0.0347593582887701,-26
401999999,545,642,854,1242,1463,4,METRO46060M46060,"Tucson, AZ MSA",19,99999,Pima County,Pima County,980263.0,867,AZ,40,1,-0.0149942329873126,-13
402199999,684,815,1013,1474,1697,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",21,99999,Pinal County,Pinal County,375770.0,944,AZ,40,1,0.0730932203389831,69
402399999,534,535,711,965,968,4,NCNTY04023N04023,"Santa Cruz County, AZ",23,99999,Santa Cruz County,Santa Cruz County,47420.0,681,AZ,40,0,0.0440528634361234,30
402599999,665,670,891,1271,1275,4,METRO39140M39140,"Prescott, AZ MSA",25,99999,Yavapai County,Yavapai County,211033.0,901,AZ,40,1,-0.0110987791342952,-10
402799999,583,601,800,1164,1409,4,METRO49740M49740,"Yuma, AZ MSA",27,99999,Yuma County,Yuma County,195751.0,870,AZ,40,1,-0.0804597701149425,-70
500199999,477,480,634,864,988,5,NCNTY05001N05001,"Arkansas County, AR",1,99999,Arkansas County,Arkansas County,19019.0,611,AR,40,0,0.0376432078559738,23
500399999,483,535,633,827,862,5,NCNTY05003N05003,"Ashley County, AR",3,99999,Ashley County,Ashley County,21853.0,611,AR,40,0,0.0360065466448445,22
500599999,501,516,686,908,934,5,NCNTY05005N05005,"Baxter County, AR",5,99999,Baxter County,Baxter County,41513.0,659,AR,40,0,0.0409711684370258,27
500799999,524,558,723,1039,1273,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",7,99999,Benton County,Benton County,221339.0,748,AR,40,1,-0.0334224598930481,-25
500999999,473,476,633,921,1115,5,NCNTY05009N05009,"Boone County, AR",9,99999,Boone County,Boone County,36903.0,623,AR,40,0,0.0160513643659711,10
501199999,420,495,659,826,898,5,NCNTY05011N05011,"Bradley County, AR",11,99999,Bradley County,Bradley County,11508.0,688,AR,40,0,-0.0421511627906977,-29
501399999,493,563,646,839,941,5,NCNTY05013N05013,"Calhoun County, AR",13,99999,Calhoun County,Calhoun County,5368.0,622,AR,40,0,0.0385852090032154,24
501599999,489,495,655,850,957,5,NCNTY05015N05015,"Carroll County, AR",15,99999,Carroll County,Carroll County,27446.0,642,AR,40,0,0.0202492211838006,13
501799999,483,551,633,921,922,5,NCNTY05017N05017,"Chicot County, AR",17,99999,Chicot County,Chicot County,11800.0,611,AR,40,0,0.0360065466448445,22
501999999,473,476,633,862,1020,5,NCNTY05019N05019,"Clark County, AR",19,99999,Clark County,Clark County,22995.0,611,AR,40,0,0.0360065466448445,22
502199999,473,476,633,894,922,5,NCNTY05021N05021,"Clay County, AR",21,99999,Clay County,Clay County,16083.0,611,AR,40,0,0.0360065466448445,22
502399999,503,506,673,939,1014,5,NCNTY05023N05023,"Cleburne County, AR",23,99999,Cleburne County,Cleburne County,25970.0,660,AR,40,0,0.0196969696969697,13
502599999,479,537,691,866,1076,5,METRO38220M38220,"Pine Bluff, AR MSA",25,99999,Cleveland County,Cleveland County,8689.0,659,AR,40,1,0.0485584218512898,32
502799999,451,551,633,921,960,5,NCNTY05027N05027,"Columbia County, AR",27,99999,Columbia County,Columbia County,24552.0,611,AR,40,0,0.0360065466448445,22
502999999,529,532,708,888,1024,5,NCNTY05029N05029,"Conway County, AR",29,99999,Conway County,Conway County,21273.0,688,AR,40,0,0.0290697674418605,20
