INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Trinity International University-Illinois,177200,3,1042.0,0.4662,0.8545,0.66310160427807,1089.0,7392.0,PrivacySuppressed,17000,72368.27,1,4,2,0.0,0.0,21.0,20468.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
Triton College,177300,3,,0.2831,0.048,,16927.0,7435.0,0.642857143,3950,63376.98,2,2,1,0.0,0.0,21.0,5359.0,Associates,Public,Great Lakes,Suburb: Large,Suburb
University of Spa & Cosmetology Arts,2124400,3,,0.4961,0.5116,,64.0,,0.614457831,4750,54685.8,3,1,3,0.0,0.0,12.0,13462.0,Certificate,Private for-profit,Great Lakes,City: Midsize,City
VanderCook College of Music,177800,3,1107.0,0.3378,0.6081,0.95744680851063,138.0,5120.0,PrivacySuppressed,27000,65913.33,1,4,2,0.0,0.0,11.0,25287.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Waubonsee Community College,693100,3,,0.2606,0.1117,,7602.0,8240.0,PrivacySuppressed,3500,79173.88,2,2,1,0.0,0.0,41.0,5483.0,Associates,Public,Great Lakes,Rural: Fringe,Rural
Resurrection University,2214100,3,,0.3276,0.7044,,,7248.0,0.894472362,25000,65691.25,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,Great Lakes,City: Large,City
Western Illinois University,178000,3,970.0,0.4621,0.7047,0.6007171094971,10652.0,8658.0,0.843323217,17991,67698,1,4,1,0.0,0.0,33.0,17219.0,Graduate,Public,Great Lakes,Town: Remote,Town
Wheaton College,178100,3,1314.0,0.199,0.4774,0.70522577371892,2418.0,8998.0,0.964,21500,81885.15,1,4,2,0.0,0.0,21.0,25260.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
William Rainey Harper College,396100,3,,0.2334,0.0713,,15021.0,8987.0,0.758754864,5500,83229.54,2,2,1,0.0,0.0,21.0,8023.0,Associates,Public,Great Lakes,Suburb: Large,Suburb
Ancilla College,178400,3,,0.62,0.7075,,473.0,3478.0,0.666666667,5500,55352.95,2,2,2,0.0,0.0,42.0,17176.0,Associates,Private non-profit,Great Lakes,Rural: Distant,Rural
Anderson University,178500,3,1050.0,0.3133,0.6726,0.59618320610687,2090.0,6437.0,0.81010453,21000,64040.72,1,4,2,0.0,0.0,13.0,23345.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Ball State University,178600,3,1070.0,0.339,0.6037,0.60500293493475,16350.0,7530.0,0.790339517,18500,62817.43,1,4,1,0.0,0.0,13.0,15201.0,Graduate,Public,Great Lakes,City: Small,City
Bethel College-Indiana,178700,3,1026.0,0.4875,0.6681,0.66460268317853,1534.0,5873.0,0.815642458,18210,61051.82,1,4,2,0.0,0.0,13.0,16996.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Butler University,178800,3,1209.0,0.1519,0.5522,0.70431459318113,3315.0,8498.0,0.937728938,25504,71968.39,1,4,2,0.0,0.0,11.0,32575.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Calumet College of Saint Joseph,183400,3,,0.4302,0.5471,,975.0,5941.0,0.554621849,14025,57573.54,1,4,2,0.0,0.0,21.0,13876.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
Christian Theological Seminary,178900,3,,,,,,8635.0,,PrivacySuppressed,PrivacySuppressed,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,Great Lakes,City: Large,City
College of Court Reporting Inc,2615800,3,,0.4748,0.7227,,99.0,,0.566666667,14250,68213.51,2,2,3,0.0,0.0,21.0,19698.0,Associates,Private for-profit,Great Lakes,Suburb: Large,Suburb
Concordia Theological Seminary,2087600,3,,,,,,4481.0,PrivacySuppressed,PrivacySuppressed,,1,4,2,0.0,0.0,11.0,,Graduate,Private non-profit,Great Lakes,City: Large,City
Tricoci University of Beauty Culture-Highland,1150500,3,,0.6156,0.7457,,92.0,,PrivacySuppressed,8999,63968.37,3,1,3,0.0,0.0,21.0,17657.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
DePauw University,179200,3,1208.0,0.1948,0.4358,0.64762639907371,2223.0,9424.0,0.923832924,23977,72050.75,1,3,2,0.0,0.0,32.0,24556.0,Bachelors,Private non-profit,Great Lakes,Town: Distant,Town
Don Roberts School of Hair Design,2164300,3,,0.5467,0.5467,,36.0,,PrivacySuppressed,9833,67999.15,3,1,3,0.0,0.0,21.0,14405.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Don Roberts Beauty School,2158800,3,,0.338,0.3944,,59.0,,PrivacySuppressed,9833,65995.27,3,1,3,0.0,0.0,21.0,13172.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Earlham College,179300,3,,0.28300000000000003,0.5277,0.6163201255394201,1104.0,7023.0,0.867647059,18500,66410.88,1,4,2,0.0,0.0,32.0,22494.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
University of Evansville,179500,3,1157.0,0.2339,0.5492,0.69738420926325,2624.0,7702.0,0.905691057,23388,61532.75,1,4,2,0.0,0.0,12.0,20879.0,Graduate,Private non-profit,Great Lakes,City: Midsize,City
Franklin College,179800,3,994.0,0.3628,0.773,0.69797330696984,1020.0,6723.0,0.898954704,19960,61682.88,1,3,2,0.0,0.0,21.0,21698.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
Goshen College,179900,3,1059.0,0.32299999999999995,0.5349,0.6587202007528199,1041.0,5482.0,0.92578125,15000,61693.43,1,4,2,0.0,0.0,13.0,17533.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Grace College and Theological Seminary,180000,3,1063.0,0.2897,0.5132,0.77381894959092,1175.0,7086.0,0.922261484,19100,63627.14,1,4,2,0.0,0.0,32.0,17605.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Hair Fashions By Kaye Beauty College-Noblesville,2490800,3,,0.6422,0.6606,,52.0,,PrivacySuppressed,7388,69767.35,3,1,3,0.0,0.0,21.0,10876.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Hanover College,180100,3,1103.0,0.3057,0.648,0.6128166915052099,1142.0,7794.0,0.897849462,26500,64885.98,1,3,2,0.0,0.0,32.0,20588.0,Bachelors,Private non-profit,Great Lakes,Town: Distant,Town
J Michael Harrold Beauty Academy,951500,3,,0.6855,0.5242,,66.0,,PrivacySuppressed,6813,48099.71,3,1,3,0.0,0.0,13.0,16471.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Holy Cross College,726300,3,984.0,0.3272,0.5976,0.90595611285266,485.0,4331.0,PrivacySuppressed,10500,72725.39,1,3,2,0.0,0.0,21.0,22685.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
PJ's College of Cosmetology-Clarksville,2241700,3,,0.5824,0.5659,,84.0,,0.408163265,9500,54684.33,2,1,3,0.0,0.0,21.0,6822.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Huntington University,180300,3,1029.0,0.3408,0.6406,0.83915343915343,897.0,6168.0,0.95,22500,63046.08,1,4,2,0.0,0.0,32.0,19983.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Ivy Tech Community College,991700,3,,0.491,0.2994,,6748.0,5489.0,0.609090909,5723,61492.18,2,2,1,0.0,0.0,11.0,6943.0,Associates,Public,Great Lakes,City: Large,City
Indiana University-Purdue University-Fort Wayne,182800,3,995.0,0.3121,0.403,0.92156303479749,9772.0,7464.0,0.790139907,13935,61940.3,1,4,1,0.0,0.0,11.0,14961.0,Graduate,Public,Great Lakes,City: Large,City
Indiana University-Purdue University-Indianapolis,181300,3,1014.0,0.3721,0.4988,0.6966516372237399,20211.0,8038.0,0.761811024,14250,64749.24,1,4,1,0.0,0.0,11.0,12861.0,Graduate,Public,Great Lakes,City: Large,City
Harrison College-Indianapolis,2158400,3,,0.7913,0.8597,1.0,634.0,4172.0,0.411931818,10475,56470.29,1,3,3,0.0,0.0,11.0,22806.0,Bachelors,Private for-profit,Great Lakes,City: Large,City
University of Indianapolis,180400,3,1030.0,0.3435,0.6268,0.7340631929046499,2856.0,7222.0,0.82631579,19295,63891.1,1,4,2,0.0,0.0,11.0,21890.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Indiana Institute of Technology,180500,3,962.0,0.6678,0.8526,0.6959549071618001,2052.0,7229.0,0.675233645,9500,60972.77,1,4,2,0.0,0.0,11.0,23834.0,Graduate,Private non-profit,Great Lakes,City: Large,City
University of Southern Indiana,180800,3,1002.0,0.3331,0.5242,0.69332260659694,8539.0,6945.0,0.744680851,13000,57279.45,1,4,1,0.0,0.0,22.0,11990.0,Graduate,Public,Great Lakes,Suburb: Midsize,Suburb
Indiana State University,180700,3,910.0,0.4343,0.6047,0.85489466113884,9537.0,7086.0,0.6,12000,56049.16,1,4,1,0.0,0.0,13.0,12143.0,Graduate,Public,Great Lakes,City: Small,City
Indiana University-Kokomo,181400,3,947.0,0.3072,0.3559,0.71316818774445,2381.0,5969.0,0.689473684,12000,60071.06,1,4,1,0.0,0.0,13.0,9899.0,Graduate,Public,Great Lakes,City: Small,City
Indiana University-South Bend,181600,3,955.0,0.3354,0.3687,0.7620704654197399,5897.0,5972.0,0.710674157,12000,59249.25,1,4,1,0.0,0.0,12.0,10035.0,Graduate,Public,Great Lakes,City: Midsize,City
Indiana University-Bloomington,180900,3,1199.0,0.1604,0.3202,0.77986254096221,29383.0,9999.0,0.890931885,18500,70094.49,1,4,1,0.0,0.0,13.0,15349.0,Graduate,Public,Great Lakes,City: Small,City
Indiana University-Northwest,181500,3,928.0,0.3038,0.3605,0.7927527018436099,4101.0,6604.0,0.623966942,12632,61713.1,1,4,1,0.0,0.0,13.0,8549.0,Graduate,Public,Great Lakes,City: Small,City
Indiana University-Southeast,181700,3,955.0,0.3485,0.4012,0.8455958549222801,5655.0,6667.0,0.744394619,10500,57669.69,1,4,1,0.0,0.0,21.0,11534.0,Graduate,Public,Great Lakes,Suburb: Large,Suburb
Indiana University-East,181100,3,961.0,0.328,0.3670000000000001,0.62242562929061,2262.0,6087.0,0.616352201,13000,51277.14,1,4,1,0.0,0.0,41.0,9263.0,Graduate,Public,Great Lakes,Rural: Fringe,Rural
International Business College-Fort Wayne,457900,3,,0.6119,0.9353,0.77986348122866,642.0,4572.0,0.593570609,10792,58726.19,1,3,3,0.0,0.0,11.0,17062.0,Bachelors,Private for-profit,Great Lakes,City: Large,City
International Business College-Indianapolis,457901,3,,0.6997,0.847,0.77986348122866,274.0,4434.0,0.593570609,10792,58726.19,2,2,3,0.0,0.0,11.0,15326.0,Associates,Private for-profit,Great Lakes,City: Large,City
Knox Beauty College,2351300,3,,0.4565,0.0,,49.0,,PrivacySuppressed,PrivacySuppressed,52996.57,3,1,3,0.0,0.0,32.0,3284.0,Certificate,Private for-profit,Great Lakes,Town: Distant,Town
Tricoci University of Beauty Culture-Lafayette,1040900,3,,0.7566,0.7829,,,,,8582,55898.98,3,1,3,0.0,0.0,13.0,17471.0,Certificate,Private for-profit,Great Lakes,City: Small,City
Brown Mackie College-Michigan City,4051312,3,,0.8214,0.7232,,200.0,4883.0,0.485496183,13157,55617.39,1,3,3,0.0,0.0,13.0,,Bachelors,Private for-profit,Great Lakes,City: Small,City
Empire Beauty School-Indianapolis,757311,3,,0.691,0.6517,,137.0,,0.481617647,8652,64697.65,3,1,3,0.0,0.0,11.0,13796.0,Certificate,Private for-profit,Great Lakes,City: Large,City
Lincoln College of Technology-Indianapolis,793800,3,,0.6099,0.7139,,703.0,4186.0,0.452723536,10314,58381.74,2,2,3,0.0,0.0,11.0,19199.0,Associates,Private for-profit,Great Lakes,City: Large,City
Manchester University,182000,3,1013.0,0.3681,0.8207,0.7063411325873101,1054.0,7278.0,PrivacySuppressed,17989,60877.57,1,4,2,0.0,0.0,32.0,20203.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Marian University,182100,3,1026.0,0.2742,0.6958,0.56109481915933,1271.0,6156.0,0.703764321,20164,65206.92,1,4,2,0.0,0.0,11.0,19193.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Indiana Wesleyan University-Marion,182200,3,1086.0,0.4004,0.6947,0.9521410579345,5220.0,7135.0,0.724956283,17256,62930.13,1,4,2,0.0,0.0,32.0,26318.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Martin University,2140800,3,,0.8646,0.9481,,556.0,4480.0,0.240506329,19000,51133.47,1,4,2,0.0,0.0,11.0,12813.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Anabaptist Mennonite Biblical Seminary,182300,3,,,,,,5117.0,PrivacySuppressed,PrivacySuppressed,,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Great Lakes,City: Small,City
Mid-America College of Funeral Service,1061800,3,,0.5517,0.7241,,36.0,3522.0,0.576923077,10750,53904.56,1,3,2,0.0,0.0,21.0,20728.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
West Michigan College of Barbering and Beauty,2491000,3,,0.5781,0.2109,,89.0,,PrivacySuppressed,5853.5,51906.49,2,1,3,0.0,0.0,13.0,6270.0,Certificate,Private for-profit,Great Lakes,City: Small,City
University of Notre Dame,184000,3,1455.0,0.1051,0.3736,0.19799526353472,8038.0,13583.0,0.954727794,21000,76710.92,1,4,2,0.0,0.0,21.0,29727.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
Oakland City University,182400,3,925.0,0.1268,0.1487,0.55288461538461,1125.0,5407.0,0.778409091,14500,52931.31,1,4,2,0.0,0.0,32.0,23867.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
PJ's College of Cosmetology-Richmond,2304800,3,,0.3571,0.3214,,43.0,,PrivacySuppressed,5500,49420.58,3,1,3,0.0,0.0,32.0,12204.0,Certificate,Private for-profit,Great Lakes,Town: Distant,Town
Purdue University-Calumet Campus,182700,3,960.0,0.3252,0.4129,0.6463094792056899,8088.0,8253.0,0.621968616,13706,61126.89,1,4,1,0.0,0.0,21.0,11207.0,Graduate,Public,Great Lakes,Suburb: Large,Suburb
Purdue University-North Central Campus,182600,3,943.0,0.2266,0.3093,0.4839743589743499,3416.0,7162.0,0.669191919,12000,65416.73,1,4,1,0.0,0.0,41.0,9625.0,Graduate,Public,Great Lakes,Rural: Fringe,Rural
Ravenscroft Beauty College,2084800,3,,0.6654,0.5948,,126.0,,0.351351351,7314.5,58158.68,3,1,3,0.0,0.0,11.0,13436.0,Certificate,Private for-profit,Great Lakes,City: Large,City
Rogers Academy of Hair Design,2339600,3,,0.9549,0.9774,,87.0,,0.3625,5500,55792.91,3,1,3,0.0,0.0,12.0,11254.0,Certificate,Private for-profit,Great Lakes,City: Midsize,City
Rose-Hulman Institute of Technology,183000,3,1322.0,0.1667,0.5316,0.57792657584853,1581.0,10536.0,0.967581047,26328,67724.52,1,4,2,0.0,0.0,13.0,36068.0,Graduate,Private non-profit,Great Lakes,City: Small,City
Rudae's School of Beauty Culture-Kokomo,967302,3,,0.6429,0.6667,,82.0,,0.621468927,8039,60493.78,3,1,3,0.0,0.0,13.0,13408.0,Certificate,Private for-profit,Great Lakes,City: Small,City
University of Saint Francis-Fort Wayne,183200,3,974.0,0.4148,0.8259,0.95257315842583,1385.0,5872.0,0.845173042,18750,63802.5,1,4,2,0.0,0.0,11.0,16197.0,Graduate,Private non-profit,Great Lakes,City: Large,City
Saint Mary-of-the-Woods College,183500,3,952.0,0.4826,0.7399,0.59363957597173,1354.0,5000.0,0.783018868,15531,56558.81,1,4,2,0.0,0.0,41.0,16530.0,Graduate,Private non-profit,Great Lakes,Rural: Fringe,Rural
Saint Mary's College,183600,3,1125.0,0.2205,0.6261,0.80371660859465,1449.0,6941.0,0.936117936,25000,72879.94,1,3,2,1.0,0.0,21.0,25332.0,Bachelors,Private non-profit,Great Lakes,Suburb: Large,Suburb
Brightwood College-Hammond,2201800,3,,0.6858,0.5952,,79.0,,0.259039716,8698,54964.82,3,1,3,0.0,0.0,21.0,22231.0,Certificate,Private for-profit,Great Lakes,Suburb: Large,Suburb
Saint Meinrad School of Theology,727600,3,,,,,,7793.0,,PrivacySuppressed,,1,4,2,0.0,1.0,43.0,,Graduate,Private non-profit,Great Lakes,Rural: Remote,Rural
Saint Elizabeth School of Nursing,625700,3,964.0,0.4413,0.8648,0.5,99.0,,0.810126582,22797,57598.03,2,1,2,0.0,0.0,13.0,27479.0,Certificate,Private non-profit,Great Lakes,City: Small,City
Taylor University,183800,3,1191.0,0.1759,0.456,0.8508158508158501,1843.0,6703.0,0.953436807,19322,68822.46,1,4,2,0.0,0.0,32.0,25709.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Trine University,183900,3,1089.0,0.1713,0.4373,0.77663870767319,1267.0,7242.0,0.810690423,16012.5,60275.33,1,4,2,0.0,0.0,32.0,25583.0,Graduate,Private non-profit,Great Lakes,Town: Distant,Town
Valparaiso University,184200,3,1159.0,0.2504,0.6429,0.81898753192128,2979.0,8190.0,0.860526316,24000,72576.06,1,4,2,0.0,0.0,21.0,20626.0,Graduate,Private non-profit,Great Lakes,Suburb: Large,Suburb
Vincennes Beauty College,1015100,3,,0.2946,0.1429,,45.0,,PrivacySuppressed,7250,44657.34,3,1,3,0.0,0.0,33.0,6881.0,Certificate,Private for-profit,Great Lakes,Town: Remote,Town
Vincennes University,184300,3,,0.2067,0.2254,,9169.0,6099.0,0.760209424,8912,53574.4,1,3,1,0.0,0.0,33.0,11245.0,Bachelors,Public,Great Lakes,Town: Remote,Town
Wabash College,184400,3,1145.0,0.2695,0.6916,0.6142742582197199,858.0,8327.0,0.863849765,23000,66824.54,1,3,2,0.0,1.0,32.0,20373.0,Bachelors,Private non-profit,Great Lakes,Town: Distant,Town
Allen College,3069100,4,,0.3193,0.9235,0.0,230.0,6378.0,0.925714286,16312,55286.77,1,4,2,0.0,0.0,13.0,,Graduate,Private non-profit,Plains,City: Small,City
Briar Cliff University,184600,4,,0.3814,0.7743,,917.0,6098.0,0.904761905,14929,55366.81,1,4,2,0.0,0.0,13.0,17465.0,Graduate,Private non-profit,Plains,City: Small,City
Buena Vista University,184700,4,1010.0,0.4747,0.7607,0.6807580174927099,2629.0,6481.0,0.850132626,17067.5,51579.73,1,4,2,0.0,0.0,33.0,19869.0,Graduate,Private non-profit,Plains,Town: Remote,Town
Capri College-Dubuque,758800,4,,0.573,0.6779,,96.0,,0.631205674,7641,53868.75,2,1,3,0.0,0.0,13.0,12098.0,Certificate,Private for-profit,Plains,City: Small,City
Capri College-Cedar Rapids,2090300,4,,0.4847,0.5534,,88.0,,0.583815029,7600,60489.75,2,1,3,0.0,0.0,12.0,12169.0,Certificate,Private for-profit,Plains,City: Midsize,City
Central College,185000,4,1068.0,0.2495,0.7066,0.64278736567893,1336.0,7059.0,0.90776699,24000,59591.09,1,3,2,0.0,0.0,32.0,20618.0,Bachelors,Private non-profit,Plains,Town: Distant,Town
Clarke University,185200,4,1045.0,0.3656,0.7787,0.71917263325377,1107.0,6132.0,0.897515528,19766,57836.44,1,4,2,0.0,0.0,13.0,23799.0,Graduate,Private non-profit,Plains,City: Small,City
Coe College,185400,4,1126.0,0.2941,0.7282,0.63349725195256,1256.0,7204.0,0.894150418,23071.5,61192.02,1,4,2,0.0,0.0,12.0,20496.0,Graduate,Private non-profit,Plains,City: Midsize,City
Cornell College,185600,4,1177.0,0.3361,0.6927,0.7045454545454499,987.0,7254.0,0.888513514,26250,67428.42,1,3,2,0.0,0.0,31.0,24559.0,Bachelors,Private non-profit,Plains,Town: Fringe,Town
Iowa School of Beauty-Marshalltown,2330900,4,,0.5778,0.7333,,31.0,,PrivacySuppressed,9500,53470.16,2,1,3,0.0,0.0,32.0,13244.0,Certificate,Private for-profit,Plains,Town: Distant,Town
Des Moines Area Community College,712000,4,,0.2526,0.2839,,10998.0,7324.0,0.652542373,5750,59440.13,2,2,1,0.0,0.0,21.0,11079.0,Associates,Public,Plains,Suburb: Large,Suburb
Divine Word College,185800,4,,0.3438,0.3438,1.0,8.0,4753.0,PrivacySuppressed,9800,62828.22,1,3,2,0.0,1.0,42.0,7909.0,Bachelors,Private non-profit,Plains,Rural: Distant,Rural
Dordt College,185900,4,1159.0,0.2695,0.6133,0.69821162444113,1420.0,6197.0,PrivacySuppressed,19000,61155.28,1,4,2,0.0,0.0,33.0,23777.0,Graduate,Private non-profit,Plains,Town: Remote,Town
Drake University,186000,4,1224.0,0.1593,0.508,0.66871354006754,2890.0,9363.0,0.917973462,21915,70375.31,1,4,2,0.0,0.0,12.0,27303.0,Graduate,Private non-profit,Plains,City: Midsize,City
University of Dubuque,189100,4,944.0,0.4414,0.7975,0.77419354838709,655.0,6257.0,0.808270677,15305,58943.3,1,4,2,0.0,0.0,13.0,22006.0,Graduate,Private non-profit,Plains,City: Small,City
Ellsworth Community College,186200,4,,0.4346,0.5169,,,6920.0,0.646017699,6250,51625.77,2,2,1,0.0,0.0,32.0,12756.0,Associates,Public,Plains,Town: Distant,Town
Emmaus Bible College,2328900,4,1069.0,0.5,0.5046,0.34722222222222,294.0,4377.0,PrivacySuppressed,10504.5,63394.45,1,3,2,0.0,0.0,13.0,13940.0,Bachelors,Private non-profit,Plains,City: Small,City
Eastern Iowa Community College District,407500,4,,0.3987,0.3019,,6179.0,5892.0,0.662921348,6001,56458.3,2,2,1,0.0,0.0,13.0,9570.0,Associates,Public,Plains,City: Small,City
Faith Baptist Bible College and Theological Seminary,712100,4,1051.0,0.456,0.368,0.64233576642335,382.0,5083.0,PrivacySuppressed,8000,57604.15,1,4,2,0.0,0.0,21.0,13261.0,Graduate,Private non-profit,Plains,Suburb: Large,Suburb
Faust Institute of Cosmetology-Storm Lake,2262500,4,,0.8065,0.8387,,17.0,,PrivacySuppressed,11376,49364.2,2,1,3,0.0,0.0,33.0,6250.0,Certificate,Private for-profit,Plains,Town: Remote,Town
Graceland University-Lamoni,186600,4,961.0,0.4159,0.6895,0.47892542843909,1477.0,5585.0,0.758454106,17011,56137.53,1,4,2,0.0,0.0,43.0,16666.0,Graduate,Private non-profit,Plains,Rural: Remote,Rural
Grand View University,186700,4,969.0,0.3898,0.7725,0.98214285714285,1378.0,6497.0,0.827018122,18750,62140.86,1,4,2,0.0,0.0,12.0,17251.0,Graduate,Private non-profit,Plains,City: Midsize,City
Grinnell College,186800,4,1402.0,0.222,0.4233,0.24914250077954,1344.0,9177.0,0.939597315,12000,70311.1,1,3,2,0.0,0.0,33.0,23192.0,Bachelors,Private non-profit,Plains,Town: Remote,Town
Kaplan University-Mason City Campus,458606,4,,0.743,0.6265,,251.0,,0.497562985,12334,55118.47,1,4,3,0.0,0.0,33.0,16870.0,Graduate,Private for-profit,Plains,Town: Remote,Town
Kaplan University-Cedar Rapids Campus,458604,4,,0.6863,0.6275,,345.0,5386.0,0.497562985,12334,55118.47,1,4,3,0.0,0.0,12.0,18111.0,Graduate,Private for-profit,Plains,City: Midsize,City
Hamilton Technical College,1206400,4,,0.7019,0.9068,,344.0,4230.0,0.480565371,9500,55761.89,1,3,3,0.0,0.0,13.0,15547.0,Bachelors,Private for-profit,Plains,City: Small,City
Hawkeye Community College,459500,4,,0.3413,0.4477,0.69482805307338,4263.0,6008.0,0.704013378,7788,51835.93,2,2,1,0.0,0.0,13.0,11039.0,Associates,Public,Plains,City: Small,City
American Hair Academy,2289000,4,,0.3846,0.6923,,1265.0,,0.576923077,10543.5,,2,1,3,0.0,0.0,33.0,8617.0,Certificate,Private for-profit,Plains,Town: Remote,Town
Indian Hills Community College,840300,4,,0.5134,0.5739,,3615.0,5890.0,0.604562738,7125,46697.61,2,2,1,0.0,0.0,33.0,8555.0,Associates,Public,Plains,Town: Remote,Town
Iowa Central Community College,186500,4,,0.3574,0.4087,,4294.0,6927.0,0.745627981,6925.5,51482.39,2,2,1,0.0,0.0,33.0,8990.0,Associates,Public,Plains,Town: Remote,Town
Iowa Lakes Community College,186400,4,,0.2933,0.3529,,2743.0,5569.0,0.597402597,7250,49517.17,2,2,1,0.0,0.0,33.0,10307.0,Associates,Public,Plains,Town: Remote,Town
UnityPoint Health-Des Moines School of Radiologic Technology,626700,4,,0.3889,0.6111,,,,PrivacySuppressed,PrivacySuppressed,67733.06,2,1,2,0.0,0.0,12.0,,Certificate,Private non-profit,Plains,City: Midsize,City
American College of Hairstyling-Des Moines,765800,4,,0.5882,0.6471,,11.0,,PrivacySuppressed,10750,53958.79,2,1,3,0.0,0.0,12.0,13134.0,Certificate,Private for-profit,Plains,City: Midsize,City
Iowa School of Beauty-Des Moines,826000,4,,0.5236,0.412,,84.0,,0.405405405,6494,61022.61,2,1,3,0.0,0.0,21.0,9687.0,Certificate,Private for-profit,Plains,Suburb: Large,Suburb
Iowa State University,186900,4,1142.0,0.2134,0.522,0.87152995199332,22087.0,10513.0,0.872953245,18950,61269.08,1,4,1,0.0,0.0,13.0,13997.0,Graduate,Public,Plains,City: Small,City
Iowa Wesleyan University,187100,4,949.0,0.482,0.7759,0.49628588636819,777.0,5714.0,0.838095238,14750,55010.75,1,3,2,0.0,0.0,33.0,22620.0,Bachelors,Private non-profit,Plains,Town: Remote,Town
Iowa Western Community College,459800,4,,0.411,0.5719,,4503.0,5358.0,0.742547426,7500,54571.92,2,2,1,0.0,0.0,13.0,10346.0,Associates,Public,Plains,City: Small,City
University of Iowa,189200,4,1164.0,0.1918,0.4384,0.8073754862329301,19284.0,10708.0,0.835095137,16944.5,63769.8,1,4,1,0.0,0.0,13.0,14085.0,Graduate,Public,Plains,City: Small,City
Kirkwood Community College,407600,4,,0.3063,0.3578,,11645.0,6546.0,0.717347622,7000,57859.15,2,2,1,0.0,0.0,12.0,10140.0,Associates,Public,Plains,City: Midsize,City
La James International College-Cedar Falls,1300600,4,,0.5696,0.4937,,70.0,,0.514285714,9500,53006.22,2,1,3,0.0,0.0,13.0,13825.0,Certificate,Private for-profit,Plains,City: Small,City
La James International College-Johnston,2274100,4,,0.6589,0.5659,,98.0,,0.584795322,9500,60652.6,2,1,3,0.0,0.0,21.0,13141.0,Certificate,Private for-profit,Plains,Suburb: Large,Suburb
La James College of Hairstyling and Cosmetology,765900,4,,0.614,0.8947,,94.0,,0.631578947,6750,49459.95,2,1,3,0.0,0.0,33.0,11247.0,Certificate,Private for-profit,Plains,Town: Remote,Town
La James International College-Ft Dodge,842400,4,,0.7586,0.4943,,27.0,,0.5,9500,50989.35,2,1,3,0.0,0.0,33.0,14378.0,Certificate,Private for-profit,Plains,Town: Remote,Town
Loras College,187300,4,1088.0,0.2389,0.6933,0.9496,1626.0,6274.0,0.944711539,21500,66273.98,1,4,2,0.0,0.0,13.0,18325.0,Graduate,Private non-profit,Plains,City: Small,City
Luther College,187400,4,1179.0,0.1866,0.6822,0.6688911704312099,2621.0,7618.0,0.904047976,26964.5,65739.49,1,3,2,0.0,0.0,33.0,24974.0,Bachelors,Private non-profit,Plains,Town: Remote,Town
Maharishi University of Management,1111300,4,,0.49,0.5423,0.36904761904761,263.0,2215.0,PrivacySuppressed,24583,60879.44,1,4,2,0.0,0.0,33.0,16430.0,Graduate,Private non-profit,Plains,Town: Remote,Town
Marshalltown Community College,187500,4,,0.3162,0.2842,,2198.0,7234.0,0.602272727,6000,52319.04,2,2,1,0.0,0.0,41.0,9768.0,Associates,Public,Plains,Rural: Fringe,Rural
Mercy College of Health Sciences,627300,4,,0.3682,0.7093,1.0,409.0,5667.0,0.809399478,15220,62864.55,1,3,2,0.0,0.0,12.0,20844.0,Bachelors,Private non-profit,Plains,City: Midsize,City
